URL,Title,CapturedUtc,HttpStatus,IsBlocked,BlockReason
"https://www.nybooks.com/articles/2011/03/10/bobby-fischer-defense/","The Bobby Fischer Defense | Garry Kasparov | The New York Review of Books","2026-06-13T13:18:48.2882139-06:00",200,False,""
"https://www.chess.com/article/view/50-years-later-match-of-the-century-fischer-spassky","50 Years Later: Why Fischer Vs. Spassky Was The Greatest World Championship Match - Chess.com","2026-06-13T13:18:47.8899322-06:00",200,False,""
"https://en.wikipedia.org/wiki/World_Chess_Championship_1972","World Chess Championship 1972 - Wikipedia","2026-06-13T13:18:46.5061570-06:00",200,False,""
"https://en.wikipedia.org/wiki/Bobby_Fischer","Bobby Fischer - Wikipedia","2026-06-13T13:18:19.7141677-06:00",200,False,""
"https://www.npr.org/2011/06/01/136650794/bobby-fischer-a-chess-champ-against-the-world","Bobby Fischer Biopic: A Chess Champ 'Against The World' : NPR","2026-06-13T13:18:19.5080769-06:00",200,False,""
"https://www.chess.com/article/view/fischer-vs-spassky-world-chess-championship-1972","Fischer vs. Spassky | World Chess Championship 1972 - Chess.com","2026-06-13T13:17:09.9846895-06:00",200,False,""
"http://arxiv.org/abs/1310.0513v2","Determination of Acceleration Mechanism Characteristics Directly and Non-Parametrically from Observations: Application to Supernova Remnants","2026-06-13T13:17:09.0962864-06:00",200,False,""
"http://arxiv.org/abs/1605.07084v2","Low-Sensitivity Functions from Unambiguous Certificates","2026-06-13T13:17:09.0382573-06:00",200,False,""
"http://arxiv.org/abs/2604.07907v1","Capture-Quiet Decomposition: A Verification Theorem for Chess Endgame Tablebases","2026-06-13T13:17:08.9793231-06:00",200,False,""
"http://arxiv.org/abs/1302.1508v1","Improved AGN light curve analysis with the z-transformed discrete correlation function","2026-06-13T13:17:08.9059936-06:00",200,False,""
"http://arxiv.org/abs/astro-ph/0504287v2","Total Galaxy Magnitudes and Effective Radii from Petrosian Magnitudes and Radii","2026-06-13T13:17:08.8071784-06:00",200,False,""
"https://doi.org/10.5040/9781350208698","Ravens: Spassky vs. Fischer","2026-06-13T13:17:08.7775939-06:00",200,False,""
"https://doi.org/10.1101/2022.08.09.503025","Concatenated 16S rRNA Sequence Analysis Improve Bacterial Taxonomy","2026-06-13T13:17:08.6988722-06:00",200,False,""
"https://doi.org/10.3998/mpub.11393212.cmp.8","Bobby Sands pictured playing his guitar in Long Kesh","2026-06-13T13:17:08.6646732-06:00",200,False,""
"https://doi.org/10.31274/rtd-180813-9527","A comparative analysis of pre-collegiate students' college preparation determined by academic achievement, achievement test performance, and learning style preference","2026-06-13T13:17:08.6303277-06:00",200,False,""
"https://doi.org/10.5040/9781350208698.00000005","Ravens: Spassky vs. Fischer","2026-06-13T13:17:08.5544903-06:00",200,False,""
